Manufacturer,Name,Year,Min Memory(GB),Max Memory(GB),Memory Type,Bandwidth(GBps),Tiny [200-600M] Min (tok/s),Tiny [200-600M] Max (tok/s),Nano (tok/s) [1-4B],Light (tok/s) [7-9B],Mid (tok/s) [12-14B],Large(tok/s) [27-34B],XL(tok/s) [70B+]
Apple,M1,2020,8,16,LPDDR4X,68,30,50,16,9.7,4.5,—,—
Apple,M1 Pro,2021,16,32,LPDDR5,200,50,90,48,35,13,6.7,—
Apple,M1 Max,2021,32,64,LPDDR5,400,70,120,96,55,27,13,5.7
Apple,M1 Ultra,2022,64,128,LPDDR5,800,90,160,190,78,53,27,11
Apple,M2,2022,8,24,LPDDR5,100,35,60,24,22,6.7,—,—
Apple,M2 Pro,2023,16,32,LPDDR5,200,,,,,,,
Apple,M2 Max,2023,32,96,LPDDR5,400,90,140,96,62,27,13,5.7
Apple,M2 Ultra,2023,64,192,LPDDR5,800,90,160,190,76,53,27,11
Apple,M3,2023,8,24,LPDDR5,100,,,,,,,
Apple,M3 Pro,2023,18,36,LPDDR5,150,,,,,,,
Apple,M3 Max,2023,36,128,LPDDR5,400,90,140,96,63,27,13,5.7
Apple,M3 Ultra,2025,96,512,LPDDR5,819,100,170,197,98,55,27,12
Apple,M4,2024,,32,LPDDR5X,120,40,70,29,14,8,—,—
Apple,M4 Pro,2024,24,64,LPDDR5X,273,60,110,66,33,18,9,—
Apple,M4 Max,2024,36,128,LPDDR5X,546,100,160,131,55,36,18,7.8
Apple,M5,2025,,32,LPDDR5X,153,45,80,37,18,10,—,—
Apple,"MacBook Pro 13"" 2018",2018,8,16,DDR4-2133,34,15,35,,4,,,
Apple,"iMac 27"" 2020",2020,,128,DDR4-2666,42,18,38,,5,,,
NVIDIA,GTX 1060 6GB,2016,6,6,GDDR5,192,100,160,46,23,,—,—
NVIDIA,GTX 1080 Ti,2017,11,11,GDDR5X,484,150,250,116,45,,—,—
NVIDIA,RTX 2060,2019,6,6,GDDR6,336,130,220,81,27,,—,—
NVIDIA,RTX 2080 Ti,2018,11,11,GDDR6,616,170,280,148,74,41,—,—
NVIDIA,RTX 3060 12GB,2021,12,12,GDDR6,360,140,230,86,42,23–29,—,—
NVIDIA,RTX 3080,2020,10,10,GDDR6X,760,,,,,,,
NVIDIA,RTX 3090,2020,24,24,GDDR6X,936,200,330,225,95,62,27,5.2
NVIDIA,RTX 4060 Ti 16GB,2023,16,16,GDDR6,288,,,,,,,
NVIDIA,RTX 4070,2023,12,12,GDDR6X,504,160,260,121,52,34,—,—
NVIDIA,RTX 4070 Ti,2023,12,12,GDDR6X,504,,,,,,,
NVIDIA,RTX 4080,2022,16,16,GDDR6X,717,180,300,172,86,48,24,—
NVIDIA,RTX 4090,2022,24,24,GDDR6X,1008,220,350,242,127.7,69,34,20
NVIDIA,RTX 5060 Ti 16GB,2025,16,16,GDDR7,448,,,,,,,
NVIDIA,RTX 5070,2025,12,12,GDDR7,672,180,290,161,80,45,—,—
NVIDIA,RTX 5070 Ti,2025,16,16,GDDR7,896,200,320,215,107,60,30,—
NVIDIA,RTX 5080,2025,16,16,GDDR7,960,210,330,230,115,64,32,—
NVIDIA,RTX 5090,2025,32,32,GDDR7,1792,250,400,430,186,120,60,26
AMD,RX 6900 XT,2020,16,16,,512,150,250,,88,,,
AMD,RX 7900 XT,2022,20,20,,800,190,310,,116,,,
AMD,RX 7900 XTX,2022,24,24,,960,210,330,,125–154,,,
AMD,RX 9070 XT,2025,16,16,,640,170,280,,97–101,,,
AMD,Ryzen 9 9950X (desktop),2024,,,DDR5-6000 dual-ch,90,30,60,,11,,,
AMD,"Ryzen AI 9 HX 375 (Strix Point, AI 300)",2024,,,LPDDR5X-8000,120,50,70,,,,,
AMD,Ryzen AI Max+ 395 (Strix Halo),2025,,128,LPDDR5X-8000,256,60,110,,,,,
Intel,6th–7th gen Core (Skylake/Kaby),2015,,,DDR4-2400,38,,,,4.6,,,
Intel,8th–10th gen Core,2017,,,DDR4-2666,42,,,,5,,,
Intel,11th–14th gen Core (DDR4-3200),2021,,,DDR4-3200,51,,,,6,,,
Intel,11th–14th gen Core (DDR5-5600),2021,,,DDR5-5600,90,,,,11,,,
Intel,Core Ultra Series 1 (Meteor Lake),2023,,,LPDDR5X-7467,120,,,,14,,,
Intel,Core Ultra Series 2 (Lunar Lake),2024,,,LPDDR5X-8533,137,,,,16,,,
Intel,"Core Ultra 200S (Arrow Lake, 285K)",2024,,,DDR5-6400 dual-ch,102,,,,12,,,
Intel,Arc A580,2023,8,8,,512,,,,62,,,
Intel,Arc A750,2022,8,8,,512,,,,62,,,
Intel,Arc A770 16GB,2022,16,16,,560,,,,38.7,,,
Intel,Arc B570,2025,10,10,,380,,,,46,,,
Intel,Arc B580,2024,12,12,,456,,,,55,,,
Raspberry Pi,Raspberry Pi 4,2019,1,8,LPDDR4,,,,,,,,
Raspberry Pi,Raspberry Pi 5 (8GB),2023,8,8,LPDDR4X-4267,17,25,45,,,,,
Raspberry Pi,Raspberry Pi 5 (16GB),2025,16,16,LPDDR4X-4267,17,25,45,,,,,
NVIDIA,Jetson Nano (edge board),,4,4,LPDDR4,25,18,18,,,,,
Google,Pixel 9 Pro (phone),2024,16,16,LPDDR5X,,,,,,,,
NVIDIA,NVIDIA DGX Spark,2025,128,128,LPDDR5X (256-bit),273,,,,,,,2.3–2.7
AMD,AMD Strix Halo mini-PCs,2025,,128,,256,,,,,,,
Apple,Apple M3 Ultra Mac Studio,2025,96,512,,819,,,,,,,12
Apple,Apple M4 Max Mac Studio,2025,36,128,,546,,,,55,,,
